start_unix,end_unix,wall_median_ms,kernel_median_ms,kernel_first10_ms,kernel_last10_ms,k1_median_ms,k2_median_ms,k3_median_ms,count,condition,index,warmups,reps,gap_s,high_priority,gpu
1790397910.6208305,1790397910.7429645,0.3861,0.3270399945,0.3113759975,0.35067200049999997,0.2244959995,0.044064000000000006,0.042448001,16384,baseline,29,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397910.7429645,1790397912.3706956,0.17149999999999999,0.136432,0.1365600005,0.13271999899999998,0.1026399995,0.012992,0.011888,16384,long_warmup,29,8816,30,0.0,False,"{""samples"": 27, ""sm_min"": 2790.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397912.3706956,1790397912.5016212,0.35025,0.288991999,0.262591997,0.31188800000000005,0.207344003,0.0414079985,0.0406880005,16384,baseline,30,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397912.5016212,1790397914.206549,0.13019999999999998,0.10052800049999999,0.1120640005,0.098224002,0.080480002,0.010032,0.008608,16384,long_warmup,30,8816,30,0.0,False,"{""samples"": 31, ""sm_min"": 2782.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397914.206549,1790397914.3281264,0.14005,0.1107519985,0.109423998,0.10646400149999999,0.08046399800000001,0.010224,0.00864,16384,baseline,31,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2940.0, ""mem_min"": 14201.0, ""pstates"": [""P0""]}"
1790397914.3281264,1790397916.0444396,0.1406,0.11451199849999999,0.1264480005,0.11406399950000001,0.07775999950000001,0.0112,0.009232,16384,long_warmup,31,8816,30,0.0,False,"{""samples"": 30, ""sm_min"": 2662.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397916.0444396,1790397917.9075496,0.14205,0.11841600099999999,0.112015999,0.11841600099999999,0.091359999,0.009392,0.009472000000000001,16384,long_warmup,32,8816,30,0.0,False,"{""samples"": 33, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397917.9075496,1790397918.0202386,0.15015,0.117631997,0.11783999749999999,0.11590400000000001,0.082863998,0.01056,0.009648,16384,baseline,32,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397918.0202386,1790397919.6228006,0.17145,0.1354720015,0.149839999,0.1339839995,0.1093599985,0.011904,0.012095999999999999,16384,long_warmup,33,8816,30,0.0,False,"{""samples"": 28, ""sm_min"": 2812.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397919.6228006,1790397919.7494686,0.14739999999999998,0.1238399975,0.1282880005,0.11401600049999999,0.085584,0.010960000000000001,0.008976000000000001,16384,baseline,33,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397919.7494686,1790397919.8917968,0.38995,0.320528004,0.3270400015,0.33643199849999994,0.220975995,0.044672001,0.0437920005,16384,baseline,34,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2940.0, ""mem_min"": 14201.0, ""pstates"": [""P1""]}"
1790397919.8917968,1790397921.5429,0.13355,0.109423999,0.107984,0.113184,0.07929599700000001,0.010208,0.008799999999999999,16384,long_warmup,34,8816,30,0.0,False,"{""samples"": 28, ""sm_min"": 2617.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397921.5429,1790397923.3224149,0.12855,0.1021599985,0.110816,0.094479999,0.079728,0.010624,0.008752,16384,long_warmup,35,8816,30,0.0,False,"{""samples"": 33, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397923.3224149,1790397923.4558952,0.36745,0.2973600015,0.29345599899999997,0.305712002,0.2129760015,0.042048,0.040912000500000004,16384,baseline,35,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397923.5921853,1790397923.7220466,0.188,0.174927997,0.17743999449999998,0.17276800250000002,0.14004799699999998,0.024623999,0.009216,1048576,baseline,0,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2745.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397923.7220466,1790397925.7825508,0.2012,0.183536001,0.1814080005,0.19020800399999999,0.1482720005,0.0245280005,0.009216,1048576,long_warmup,0,7401,30,0.0,False,"{""samples"": 37, ""sm_min"": 2745.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397925.7825508,1790397925.9057474,0.1886,0.174783997,0.1717280015,0.181776001,0.14035199599999998,0.024848000500000002,0.010304,1048576,baseline,1,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397925.9057474,1790397927.928111,0.21525,0.186751996,0.1915040005,0.185359997,0.15001600199999998,0.024576,0.010336,1048576,long_warmup,1,7401,30,0.0,False,"{""samples"": 36, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397927.928111,1790397929.9047902,0.23815,0.2130079955,0.214608001,0.20604799749999997,0.1661120055,0.02544,0.009216,1048576,long_warmup,2,7401,30,0.0,False,"{""samples"": 34, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397929.9047902,1790397930.0337672,0.33704999999999996,0.3058400015,0.311456,0.20028800149999998,0.23795199350000001,0.056528000499999995,0.010288,1048576,baseline,2,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
