2026/09/26 03:09:36.913, P8, 450, 405, 14.99, 6, 0x0000000000000000
2026/09/26 03:09:36.975, P8, 450, 405, 14.99, 6, 0x0000000000000000
2026/09/26 03:09:37.039, P8, 450, 405, 14.99, 6, 0x0000000000000000
2026/09/26 03:09:37.100, P8, 450, 405, 14.99, 6, 0x0000000000000000
2026/09/26 03:09:37.163, P8, 450, 405, 14.99, 6, 0x0000000000000000
2026/09/26 03:09:37.226, P8, 450, 405, 14.99, 6, 0x0000000000000000
2026/09/26 03:09:37.289, P8, 450, 405, 14.99, 6, 0x0000000000000000
2026/09/26 03:09:37.351, P8, 450, 405, 14.99, 6, 0x0000000000000000
2026/09/26 03:09:37.414, P1, 1957, 14001, 22.20, 5, 0x0000000000000000
2026/09/26 03:09:37.478, P1, 1957, 14001, 22.20, 5, 0x0000000000000000
2026/09/26 03:09:37.540, P1, 1957, 14001, 22.20, 5, 0x0000000000000000
2026/09/26 03:09:37.603, P1, 1957, 14001, 22.20, 5, 0x0000000000000000
2026/09/26 03:09:37.665, P1, 1957, 14001, 22.20, 5, 0x0000000000000000
2026/09/26 03:09:37.728, P1, 1957, 14001, 22.20, 5, 0x0000000000000000
2026/09/26 03:09:37.790, P1, 1957, 14001, 22.20, 5, 0x0000000000000000
2026/09/26 03:09:37.854, P1, 1957, 14001, 22.20, 5, 0x0000000000000000
2026/09/26 03:09:37.916, P1, 2640, 14001, 30.13, 5, 0x0000000000000000
2026/09/26 03:09:37.978, P1, 2640, 14001, 30.13, 5, 0x0000000000000000
2026/09/26 03:09:38.041, P1, 2640, 14001, 30.13, 5, 0x0000000000000000
2026/09/26 03:09:38.105, P1, 2640, 14001, 30.13, 5, 0x0000000000000000
2026/09/26 03:09:38.167, P1, 2640, 14001, 30.13, 5, 0x0000000000000000
2026/09/26 03:09:38.230, P1, 2640, 14001, 30.13, 5, 0x0000000000000000
2026/09/26 03:09:38.293, P1, 2640, 14001, 30.13, 5, 0x0000000000000000
2026/09/26 03:09:38.357, P1, 2640, 14001, 30.13, 5, 0x0000000000000000
2026/09/26 03:09:38.419, P1, 2647, 14001, 33.96, 3, 0x0000000000000000
2026/09/26 03:09:38.480, P1, 2647, 14001, 33.96, 3, 0x0000000000000000
2026/09/26 03:09:38.543, P1, 2647, 14001, 33.96, 3, 0x0000000000000000
2026/09/26 03:09:38.605, P1, 2647, 14001, 33.96, 3, 0x0000000000000000
2026/09/26 03:09:38.667, P1, 2647, 14001, 33.96, 3, 0x0000000000000000
2026/09/26 03:09:38.729, P1, 2647, 14001, 33.96, 3, 0x0000000000000000
2026/09/26 03:09:38.792, P1, 2647, 14001, 33.96, 3, 0x0000000000000000
2026/09/26 03:09:38.853, P1, 2647, 14001, 33.96, 3, 0x0000000000000000
2026/09/26 03:09:38.916, P0, 2632, 14001, 33.54, 6, 0x0000000000000000
2026/09/26 03:09:38.978, P0, 2632, 14001, 33.54, 6, 0x0000000000000000
2026/09/26 03:09:39.042, P0, 2632, 14001, 33.54, 6, 0x0000000000000000
