start_unix,end_unix,wall_median_ms,kernel_median_ms,kernel_first10_ms,kernel_last10_ms,k1_median_ms,k2_median_ms,k3_median_ms,count,condition,index,warmups,reps,gap_s,high_priority,gpu
1790397598.600673,1790397599.917567,0.14515,0.1182880005,0.1207359995,0.11766399799999999,0.078640003,0.011040000000000001,0.008704,16384,long_warmup,23,6716,30,0.0,False,"{""samples"": 21, ""sm_min"": 2655.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397599.917567,1790397600.0304315,0.1369,0.121424,0.122975999,0.121936002,0.080704,0.010272,0.009232,16384,high_priority,23,10,30,0.0,True,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397603.030624,1790397603.1468987,0.14040000000000002,0.111279999,0.1074719965,0.111008002,0.081903998,0.010608,0.008816000000000001,16384,idle_gap,23,10,30,3.0,False,"{""samples"": 2, ""sm_min"": 862.0, ""mem_min"": 7001.0, ""pstates"": [""P3""]}"
1790397603.1468987,1790397603.2564652,0.1386,0.109167999,0.104031999,0.123327998,0.0775679985,0.009712,0.009408,16384,baseline,23,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 690.0, ""mem_min"": 14201.0, ""pstates"": [""P0""]}"
1790397603.2564652,1790397603.4694724,0.34965,0.2916159965,0.316655998,0.11208000000000001,0.20816000550000002,0.041407999,0.040832002,16384,many_reps,24,10,300,0.0,False,"{""samples"": 3, ""sm_min"": 690.0, ""mem_min"": 14201.0, ""pstates"": [""P0""]}"
1790397603.4694724,1790397603.5804174,0.14545,0.129232,0.1233759995,0.1305280005,0.08135999699999999,0.011152,0.023008,16384,high_priority,24,10,30,0.0,True,"{""samples"": 2, ""sm_min"": 690.0, ""mem_min"": 14201.0, ""pstates"": [""P0""]}"
1790397603.5804174,1790397603.7071276,0.3695,0.3059520015,0.280783996,0.2941119995,0.223568,0.041951999000000004,0.0410079995,16384,baseline,24,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 690.0, ""mem_min"": 14201.0, ""pstates"": [""P0""]}"
1790397603.7071276,1790397604.9052248,0.1414,0.11105600099999999,0.12342400049999999,0.11105600099999999,0.081232,0.010912,0.008752,16384,long_warmup,24,6716,30,0.0,False,"{""samples"": 19, ""sm_min"": 2790.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397607.9063256,1790397608.0353045,0.3718,0.32151999649999996,0.30548800200000004,0.3229279945,0.223616004,0.041535999500000004,0.0408800005,16384,idle_gap,24,10,30,3.0,False,"{""samples"": 2, ""sm_min"": 862.0, ""mem_min"": 7001.0, ""pstates"": [""P3""]}"
1790397608.0353045,1790397608.1461027,0.14665,0.1233440015,0.12721599849999998,0.121600001,0.080016002,0.010432,0.009472000000000001,16384,high_priority,25,10,30,0.0,True,"{""samples"": 2, ""sm_min"": 862.0, ""mem_min"": 7001.0, ""pstates"": [""P3""]}"
1790397608.1461027,1790397608.3648992,0.3419,0.288752003,0.3005279995,0.2842719925,0.2066399975,0.041616,0.04064,16384,many_reps,25,10,300,0.0,False,"{""samples"": 4, ""sm_min"": 735.0, ""mem_min"": 14201.0, ""pstates"": [""P0""]}"
